product_type,product_name,product_price,product_brand,product_model,product_screen,product_screenres,product_cpu,product_graphicscard,product_graphicsmemory,product_memory,product_storage,product_dimensions,product_weight
Laptops QWERTY,"HP 17-bs092nd","599,-","HP","2FN48EA#ABH","17,3 inch","1600 x 900 pixels","Intel Core i3 6006U","Intel HD Graphics 520","4000 MB","8 GB","256 GB SSD","41,5 cm x 27,8 cm x 2,46 cm","2,5 kg"
Laptops QWERTY,"Acer Aspire 7 A715-71G-70GD","999,-","Acer","NX.GP8EH.011","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","8 GB","256 GB SSD","38,16 cm x 26,28 cm x 2,39 cm","2,35 kg"
Laptops QWERTY,"Lenovo Legion Y520-15IKBN 80WK00U8MH","1.099,-","Lenovo","80WK00U8MH","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","16 GB","128 GB SSD + 1 TB HDD","38 cm x 26,5 cm x 2,58 cm","2,4 kg"
Laptops QWERTY,"Acer Aspire 3 A315-31-C440","299,-","Acer","NX.GNTEH.008","15,6 inch","1366 x 768 pixels","Intel Celeron N3350","Intel HD Graphics 500","None","4 GB","500 GB HDD","38,16 cm x 25,9 cm x 2,16 cm","2,1 kg"
Laptops QWERTY,"HP 15-bs592nd","799,-","HP","2HP75EA#ABH","15,6 inch","1920 x 1080 pixels","Intel Core i7 7500U","Intel HD Graphics 620","2000 MB","8 GB","256 GB SSD","38 cm x 25,38 cm x 2,38 cm","1,91 kg"
Laptops QWERTY,"Lenovo Yoga 310-11IAP 80U20041MH","369,-","Lenovo","80U20041MH","11,6 inch","1366 x 768 pixels","Intel Pentium N4200","Intel HD Graphics 505","None","4 GB","64 GB Flash","29,2 cm x 20,5 cm x 2,09 cm","1,35 kg"
Laptops QWERTY,"Lenovo Ideapad 320-14IKBN 80XK00XAMH","549,-","Lenovo","80XK00XAMH","14 inch","1366 x 768 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","128 GB SSD","33,83 cm x 24,99 cm x 2,27 cm","2,1 kg"
Laptops QWERTY,"Asus ZenBook Flip UX360CA-DQ256T","699,-","Asus","90NB0BA2-M07400","13,3 inch","3200 x 1800 pixels","Intel Core m3 7Y30","Intel HD Graphics 615","None","8 GB","128 GB SSD","32,3 cm x 22 cm x 1,39 cm","None"
Laptops QWERTY,"Lenovo Ideapad 320-15IAP 80XR00NMMH","349,-","Lenovo","80XR00NMMH","15,6 inch","1920 x 1080 pixels","Intel Celeron N3350","Intel HD Graphics 500","None","4 GB","128 GB SSD","37,8 cm x 26 cm x 2,29 cm","2,2 kg"
Laptops QWERTY,"Asus VivoBook Pro N580VD-E4392T","1.349,-","Asus","90NB0FL1-M05890","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","16 GB","256 GB SSD + 1 TB HDD","38 cm x 25,6 cm x 1,92 cm","2,3 kg"
Laptops QWERTY,"Lenovo Ideapad 320-14IAP 80XQ0042MH","399,-","Lenovo","80XQ0042MH","14 inch","1366 x 768 pixels","Intel Celeron N3350","Intel HD Graphics 500","None","8 GB","128 GB SSD","33,8 cm x 24,9 cm x 2,27 cm","2,1 kg"
Laptops QWERTY,"HP 17-ak092nd","549,-","HP","2HP94EA#ABH","17,3 inch","1600 x 900 pixels","AMD A9 9420","AMD Radeon R5","4000 MB","8 GB","256 GB SSD","41,5 cm x 27,8 cm x 2,46 cm","2,5 kg"
Laptops QWERTY,"Asus VivoBook R540SA-XX608T","379,-","Asus","90NB0B33-M18440","15,6 inch","1366 x 768 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","8 GB","128 GB SSD","38,1 cm x 25,2 cm x 2,54 cm","None"
Laptops QWERTY,"Lenovo Ideapad 110-15ISK 80UD007EMH","549,-","Lenovo","80UD007EMH","15,6 inch","1920 x 1080 pixels","Intel Core i3 6100U","Intel HD Graphics 520","None","8 GB","256 GB SSD","26,4 cm x 37,7 cm x 2,29 cm","2,3 kg"
Laptops QWERTY,"HP ProBook 430 G4  i5-8gb-256ssd","949,-","HP","748190","13,3 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","33 cm x 23,35 cm x 1,98 cm","1,49 kg"
Laptops QWERTY,"HP Pavilion x360 14-ba022nd","899,-","HP","1US23EA#ABH","14 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","33,48 cm x 22,69 cm x 1,99 cm","1,63 kg"
Laptops QWERTY,"Apple MacBook Pro Retina 15,4'' 256 GB","2.098,-","Apple","MJLQ2N/A","15,4 inch","2880 x 1800 pixels","Intel Core i7 4770HQ","Intel Iris Pro","None","16 GB","256 GB SSD","35,89 cm x 24,71 cm x 1,8 cm","2 kg"
